baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	HGNC_symbol	label
ENSG00000151892.14	1148.46198246111	-1.15834492646537	0.241558160061706	-4.7953044772715	1.62427929675202e-06	0.00229799425394927	GFRA1	GFRA1
ENSG00000128573.24	608.502712035069	-1.47352800053248	0.359118438281562	-4.10318113317586	4.07507957881789e-05	0.0167380607345446	FOXP2	FOXP2
ENSG00000112473.17	227.879159559654	-0.95404971702926	0.386267637327187	-2.46991884598692	0.013514370704871	0.605910148539164	SLC39A7	SLC39A7
ENSG00000182985.17	2976.65946844875	-0.555359551487405	0.251272018973526	-2.21019257837028	0.0270917998361009	0.733957207049091	CADM1	CADM1
ENSG00000160094.14	321.83172635569	0.692205852436136	0.330161471395957	2.09656762646901	0.0360318675860101	0.77893679112507	ZNF362	ZNF362
ENSG00000214063.10	138.265743779364	-0.752325116656019	0.380801900541936	-1.97563382846921	0.0481962643763465	0.850037064528226	TSPAN4	TSPAN4
ENSG00000053438.8	66998.8517461316	3.13179222210677	1.58760464246179	1.97265247174544	0.0485351704106895	0.850066471580894	NNAT	NNAT
ENSG00000213639.9	5061.22023084502	0.427966784470743	0.219482093970332	1.94989384659595	0.0511887727146835	0.861167598845228	PPP1CB	PPP1CB
ENSG00000153956.15	2445.21697911534	-0.38002260194082	0.198843750474744	-1.9111619099595	0.0559837771337913	0.869168528861853	CACNA2D1	CACNA2D1
ENSG00000168283.13	247.67820547616	0.594606119433119	0.324672682520217	1.83140175150428	0.0670406000795179	0.886070406279337	BMI1	BMI1
ENSG00000115966.16	812.09177268083	0.400814372732157	0.219722088050083	1.82418789248351	0.068123671385706	0.890672781313768	ATF2	ATF2
ENSG00000132824.13	3517.80468080326	-0.371953763261801	0.210580990726798	-1.76632165124707	0.0773419011977405	0.896898386111867	SERINC3	SERINC3
ENSG00000049130.14	172.029609177554	0.76376534079896	0.440686332133851	1.73312690933872	0.0830731144611747	0.910509703252994	KITLG	KITLG
ENSG00000116030.16	3644.30435061378	0.37516862535961	0.220386449575914	1.70232165399253	0.0886950877276619	0.910509703252994	SUMO1	SUMO1
ENSG00000154447.14	231.973938543651	0.541632850621909	0.318610342111809	1.69998515124106	0.0891337185764956	0.910509703252994	SH3RF1	SH3RF1
ENSG00000075213.10	602.930724904805	-0.495157729448552	0.30223360562338	-1.63832783726102	0.101353323690984	0.910509703252994	SEMA3A	SEMA3A
ENSG00000278540.4	957.335110168137	-0.411146393608073	0.254015052809224	-1.61859066642347	0.10553536464543	0.916789677377116	ACACA	ACACA
ENSG00000069869.15	1854.01243406538	-0.405243295578297	0.251192004453403	-1.61328102962557	0.106683466067623	0.91783822529665	NEDD4	NEDD4
ENSG00000150593.17	577.696039013925	0.395058358547569	0.25181776282748	1.56882641681724	0.116688391224762	0.923910415375199	PDCD4	PDCD4
ENSG00000073910.20	1006.24651841069	-0.340349389291444	0.220988121256482	-1.54012526716958	0.123529821860543	0.923910415375199	FRY	FRY
ENSG00000213983.11	1444.39088757419	-0.433004396623196	0.297461988571249	-1.4556629527792	0.145485816005929	0.930748375349336	AP1G2	AP1G2
ENSG00000177700.5	2432.39666642395	0.419243776212246	0.28832196933012	1.45408196672042	0.145923582585852	0.930748375349336	POLR2L	POLR2L
ENSG00000165588.16	692.058761866877	1.11497807733573	0.804579797275951	1.38578930406989	0.165811249354223	0.940386011480265	OTX2	OTX2
ENSG00000165966.14	3108.82185709017	-0.426361017222725	0.314968698018428	-1.35366155400553	0.175844379128297	0.942508662213002	PDZRN4	PDZRN4
ENSG00000152601.17	247.981976005998	0.41180393890335	0.307145492688722	1.34074550565095	0.180003094548324	0.9436420151535	MBNL1	MBNL1
ENSG00000138433.15	914.919585634288	0.283874209340417	0.216566258745012	1.31079610916978	0.189926657431888	0.949710792911225	CIR1	CIR1
ENSG00000118271.9	8215.07651159614	2.93029894765426	2.24101740777362	1.30757527250331	0.191017408518827	0.949710792911225	TTR	TTR
ENSG00000115738.9	6160.26406436048	1.4302419732439	1.11240049715944	1.28572575874974	0.198538788179525	0.949710792911225	ID2	ID2
ENSG00000165410.14	647.182632076499	0.342335602734661	0.266315983232353	1.28544895646005	0.198635442868369	0.949710792911225	CFL2	CFL2
ENSG00000171206.13	245.020245503718	0.389837976589728	0.311840586391997	1.25011943153444	0.211255922469198	0.949710792911225	TRIM8	TRIM8
ENSG00000189184.11	46.602194985497	1.0759373494879	0.868887312332111	1.23829331400877	0.215607322011566	0.949710792911225	PCDH18	PCDH18
ENSG00000139793.18	242.753117033414	-0.364611935302758	0.296305129783286	-1.2305285958749	0.218499225456123	0.949710792911225	MBNL2	MBNL2
ENSG00000122958.14	602.049003669256	0.315977294406219	0.26052530226367	1.21284685848451	0.225188376272641	0.949710792911225	VPS26A	VPS26A
ENSG00000113638.13	269.426619605122	0.384764642495585	0.324090226126632	1.18721458247632	0.235142990325979	0.949710792911225	TTC33	TTC33
ENSG00000114279.13	1116.4077656961	0.259797778908654	0.221480202674964	1.17300677790115	0.240793087662755	0.951293324607463	FGF12	FGF12
ENSG00000170522.9	3880.77588998887	-0.29329634315286	0.251003384668919	-1.16849557044709	0.242606924954077	0.952842065219083	ELOVL6	ELOVL6
ENSG00000147862.15	56.1439360784714	0.950589503083475	0.81954174073591	1.15990370695444	0.246088013310242	0.953165395504931	NFIB	NFIB
ENSG00000178662.15	1715.40950844941	0.266533465070979	0.23353583925849	1.14129576820954	0.253746862573186	0.953266599632595	CSRNP3	CSRNP3
ENSG00000004799.7	25.6045826159799	0.998617796441136	0.893294202524187	1.11790471002648	0.263607693220482	0.9555586629189	PDK4	PDK4
ENSG00000157064.10	1192.90903318346	0.235071106444329	0.210608900146977	1.11614991712259	0.264357968212205	0.9555586629189	NMNAT2	NMNAT2
ENSG00000157168.18	1086.86247166163	-0.288678442723022	0.259116294473702	-1.11408834133478	0.265241289743292	0.9555586629189	NRG1	NRG1
ENSG00000188338.14	68.6039019682918	-0.588667412821932	0.531237169567634	-1.10810659822813	0.267815781705033	0.9555586629189	SLC38A3	SLC38A3
ENSG00000164442.9	34.5240910918793	0.850234795076772	0.812297805402579	1.04670330194404	0.295236440370981	0.960865978159792	CITED2	CITED2
ENSG00000106049.8	98.8551117394658	-0.496239322567609	0.484283391843403	-1.02468788095065	0.305510483167216	0.965272866770515	HIBADH	HIBADH
ENSG00000227057.9	301.099121244937	0.339973004943713	0.336437204050615	1.01050954190122	0.312251230216055	0.969765490578629	WDR46	WDR46
ENSG00000048649.13	3050.5745012373	0.190136271281751	0.188541713729317	1.008457319714	0.313234967359738	0.969765490578629	RSF1	RSF1
ENSG00000157764.12	432.832415972612	0.263686069952261	0.264136919235786	0.998293122806045	0.318137241449853	0.97212313431621	BRAF	BRAF
ENSG00000139946.9	65.8848095312723	0.535021468064223	0.538106558462986	0.9942667667765	0.320093010581956	0.97212313431621	PELI2	PELI2
ENSG00000184564.8	288.056803927591	0.362033369075656	0.365338498539958	0.990953240686347	0.321708413220309	0.97212313431621	SLITRK6	SLITRK6
ENSG00000058091.16	314.804948515119	0.288413114554611	0.296437663416255	0.972930063038662	0.33058806227795	0.97212313431621	CDK14	CDK14
ENSG00000112146.16	422.898409337527	-0.240382558923257	0.249705802926995	-0.962663086342197	0.335716627122211	0.97212313431621	FBXO9	FBXO9
ENSG00000101849.15	940.229785541403	0.262849964116277	0.276757927495722	0.949746829276785	0.34224090871678	0.97212313431621	TBL1X	TBL1X
ENSG00000135334.8	378.105714944322	0.267941559719352	0.282704280350082	0.947780342722619	0.343241289724975	0.97212313431621	AKIRIN2	AKIRIN2
ENSG00000129757.12	290.493187898098	-0.444358649181083	0.47071055545885	-0.94401675090528	0.345161088405752	0.97212313431621	CDKN1C	CDKN1C
ENSG00000186591.11	1283.82990381139	0.191808358025453	0.2049146172663	0.936040388842469	0.349252393072032	0.97212313431621	UBE2H	UBE2H
